१वि प्रकोपबाट बाचौं	1SF04.00
१वि वस्तुका गुणहरु	1SF06.00
३वि आकार र आकृती	3SF01.00
अ देखि अ: सम्मका (स्वर वर्ण)	1SF02.00
ऋ देखि अ: सम्मका शब्दहरु	1SF04.00
जनावर र बिरुवाहरु	1SF05.00
