_id	pn	len	npn	nlen	ft	dn	ndn	key1	key2	key3	key4
8H02.06	118	7	117	7	chapter	Athletics	एथलेटिक्स	Social Studies	Community	Sports	Exercise
9H01			6	12	chapter	"The Concept of Health, Population and Environment Education"	स्वास्थ्य जनसङ्‌ख्या तथा वातावरण शिक्षाको अवधारणा	Science	Medicine	Healthy Living	
9H02			18	16	chapter	Demographics and Demographic Changes	जन साङ्‌ख्यिकी र जनसङ्‌ख्या परिवर्तन	Social Studies	Economy	Other Economy	Population
9H03			34	13	chapter	"Population, Environment and Development"	"जनसङ्‌ख्या, वातावरण र विकास"	Social Studies	Economy	Other Economy	Population
9H04			47	19	chapter	Population and Environmental Status of Nepal	नेपालको जन साङ्‌ख्यिक स्थिति र वातावरण	Social Studies	Economy	Other Economy	Population
9H05			66	25	chapter	Family Life Education	पारिवारिक जीवन शिक्षा	Social Studies	Community	Everyday Life	Family
9H06			91	21	chapter	Natural Resources and Biodiversity	प्राकृतिक स्रोत तथा जैविक विविधत	Science	Biology	Ecology	Biodiversity
9H07			112	19	chapter	Environmental Health	वातावरणीय स्वास्थ्य	Science	Medicine	Specialties	Public Health
9H08			131	19	chapter	"Adolescence, Sexual and Reproductive Health Education"	"किशोरावस्था, यौन तथा प्रजनन्‌ स्वास्थ्य"	Science	Medicine	Specialties	Family Planning
9H09			150	20	chapter	Consumer Health	उपभोक्ता स्वास्थ्य	Science	Medicine	Healthy Living	
9H10			170	17	chapter	Primary Health Care and Precautions and Security on Risk	प्राथमिक स्वास्थ्य हेरचाह र जोखिमप्रति सावधानी तथा सुरक्षा	Science	Medicine	Specialties	Public Health
10H01			5	9	chapter	Health Promotion and Mental Health	स्वास्थ्य प्रवर्धन र मानसिक स्वास्थ्य	Science	Medicine	Healthy Living	
10H02			14	41	chapter	Human Body	मानव शरीर	Science	Medicine	Human Body	
10H03			55	14	chapter	Comprehensive Sexuality Education	बृहत् यौनिकता शिक्षा	Science	Medicine	Specialties	Family Planning
10H04			69	17	chapter	School Health and Healthful School Environment	विद्यालय स्वास्थ्य र सुरक्षित विद्यालय वातावरण	Social Studies	Community	Social Organization	Schools
10H05			86	14	chapter	Diseases	रोगहरू	Science	Medicine	Disease & Injury	
10H06			100	29	chapter	Nutrition	पोषण	Science	Medicine	Healthy Living	Nutrition
10H07			129	8	chapter	Sport Science	खेल विज्ञान	Science	Medicine	Healthy Living	Sports
10H08			137	11	chapter	Drill and Physical Training	कवाज तथा शारीरिक व्यायाम	Social Studies	Community	Sports	Exercise
10H09			148	18	chapter	Athletics	एथलेटिक्स	Social Studies	Community	Sports	Exercise
10H10			166	25	chapter	Games	खेलहरू	Social Studies	Community	Everyday Life	Games
10H11			191	20	chapter	Badminton	ब्याडमिन्टन	Social Studies	Community	Sports	Badminton
10H12			211	8	chapter	Yoga	योगा	Social Studies	Community	Sports	Yoga
