ndn	ch_id	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	ft	fp	src
कक्षा ५ सुनाइ पाठ १३	5N13	5	5	np	Language	Nepali	Contexts	Describing	कक्षा_५_सुनाइ_पाठ_१३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 5 Listening Texts/	CEHRD
कक्षा ५ सुनाइ पाठ १४	5N14	5	5	np	Language	Nepali	Contexts	Describing	कक्षा_५_सुनाइ_पाठ_१४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 5 Listening Texts/	CEHRD
कक्षा ५ सुनाइ पाठ १५	5N15	5	5	np	Language	Nepali	Contexts	Narration	कक्षा_५_सुनाइ_पाठ_१५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 5 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ १	6N01	6	6	np	Language	Nepali	Song		कक्षा_६_सुनाइ_पाठ_१.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ २	6N02	6	6	np	Language	Nepali	Contexts	Narration	कक्षा_६_सुनाइ_पाठ_२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ ३	6N03	6	6	np	Language	Nepali	Contexts	Possessions	कक्षा_६_सुनाइ_पाठ_३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ ४	6N04	6	6	np	Language	Nepali	Contexts	Conversation	कक्षा_६_सुनाइ_पाठ_४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ ५	6N05	6	6	np	Language	Nepali	Contexts	Narration	कक्षा_६_सुनाइ_पाठ_५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ ६	6N06	6	6	np	Language	Nepali	Textbooks		कक्षा_६_सुनाइ_पाठ_६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ ७	6N07	6	6	np	Language	Nepali	Contexts	Comparing	कक्षा_६_सुनाइ_पाठ_७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ ८	6N08	6	6	np	Language	Nepali	Contexts	Describing	कक्षा_६_सुनाइ_पाठ_८.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ ९	6N09	6	6	np	Language	Nepali	Song		कक्षा_६_सुनाइ_पाठ_९.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ १०	6N10	6	6	np	Language	Nepali	Textbooks		कक्षा_६_सुनाइ_पाठ_१०.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ ११	6N11	6	6	np	Language	Nepali	Contexts	Identity	कक्षा_६_सुनाइ_पाठ_११.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ १२	6N12	6	6	np	Language	Nepali	Contexts	Narration	कक्षा_६_सुनाइ_पाठ_१२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ १३	6N13	6	6	np	Language	Nepali	Song		कक्षा_६_सुनाइ_पाठ_१३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ १४	6N14	6	6	np	Language	Nepali	Contexts	Conversation	कक्षा_६_सुनाइ_पाठ_१४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ १५	6N15	6	6	np	Language	Nepali	Textbooks		कक्षा_६_सुनाइ_पाठ_१५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ६ सुनाइ पाठ १६	6N16	6	6	np	Language	Nepali	Textbooks		कक्षा_६_सुनाइ_पाठ_१६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 6 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ १	7N01	7	7	np	Social Studies	Geography	Asia	Nepal	कक्षा_७_सुनाइ_पाठ_१.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ २	7N02	7	7	np	Social Studies	Beliefs	Other Beliefs	Humanisim	कक्षा_७_सुनाइ_पाठ_२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ ३	7N03	7	7	np	Social Studies	Economy	Occupations	Other Occupations	कक्षा_७_सुनाइ_पाठ_३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
