	7SS04.01 सभ्य समाज र यसको निर्माणका बाधाहरू	7SS04.01					7	7	np	Social Studies	Issues	Other Issues			7SS04.01_सभ्य_समाज_र_यसको_निर्माणका_बाधाहरू.json	game																					
	7SS04.05 द्वन्द्व व्यवस्थापन	7SS04.05					7	7	np	Social Studies	Issues	Solutions			7SS04.05_द्वन्द्व_व्यवस्थापन.json	game																					
	7SS04.05 विद्यालय र छरछिमेकमा द्वन्द्वका कारणहरू	7SS04.05					7	7	np	Social Studies	Issues	Other Issues			7SS04.05_विद्यालय_र_छरछिमेकमा_द्वन्द्वका_कारणहरू.json	game																					
	7SS04.06 शान्ति स्थापना	7SS04.06					7	7	np	Social Studies	Issues	Solutions			7SS04.06_शान्ति_स्थापना.json	game																					
	7SS05.03 मध्यकालीन नेपालको राजनीतिक अवस्था	7SS05.03					7	7	np	Social Studies	History	Nepal	Other Nepal		7SS05.03_मध्यकालीन_नेपालको_राजनीतिक_अवस्था.json	game																					
	7SS05.04 एसियाको तारा: गौतम बुद्ध	7SS05.04					7	7	np	Social Studies	Beliefs	Religion	Buddhism		7SS05.04_एसियाको_तारा_गौतम_बुद्ध.json	game																					
	7SS05.05 अरनिकोलाई चिन्‍नुहोस्	7SS05.05					7	7	np	Social Studies	Arts	People			7SS05.05_अरनिकोलाई_चिन्‍नुहोस्.json	game																					
	7SS05.06 दिव्य उपदेश	7SS05.06					7	7	np	Social Studies	Beliefs	Religion	Buddhism		7SS05.06_दिव्य_उपदेश.json	game																					
	7SS05.07 सिँजा राज्यको भौगोलिक अवस्थिति	7SS05.07					7	7	np	Social Studies	History	Nepal	Other Nepal		7SS05.07_सिँजा_राज्यको_भौगोलिक_अवस्थिति.json	game																					
	7SS05.07 सिँजा सभ्यताबाट वर्तमान समाजमा परेको प्रभाव	7SS05.07					7	7	np	Social Studies	History	Nepal	Other Nepal		7SS05.07_सिँजा_सभ्यताबाट_वर्तमान_समाजमा_परेको_प्रभाव.json	game																					
	7SS06.05 नेपाल सरकारको आय र खर्च	7SS06.05					7	7	np	Social Studies	Community	Government	Other Government		7SS06.05_नेपाल_सरकारको_आय_र_खर्च.json	game																					
	7SS06.05 सरकारी आय र स्रोतहरू	7SS06.05					7	7	np	Social Studies	Community	Government	Other Government		7SS06.05_सरकारी_आय_र_स्रोतहरू.json	game																					
	7SS07.02 मुख्य धरातलीय स्वरूपहरू	7SS07.02					7	7	np	Science	Earth	Geology			7SS07.02_मुख्य_धरातलीय_स्वरूपहरू.json	game																					
	7SS07.04 हावापानीले मानव जीवनमा पार्ने प्रभाव	7SS07.04					7	7	np	Social Studies	Geography	Landforms			7SS07.04_हावापानीले_मानव_जीवनमा_पार्ने_प्रभाव.json	game																					
	7SS07.05 उचाइअनुसार तापक्रममा फरक	7SS07.05					7	7	np	Social Studies	Geography	Landforms			7SS07.05_उचाइ_अनुसार_तापक्रममा_फरक.json	game																					
	7SS07.07 नेपालका सात प्रदेश	7SS07.07					7	7	np	Social Studies	Community	Government	Other Government		7SS07.07_नेपालका_सात_प्रदेश.json	game																					
	7SS07.08 जलवायु परिवर्तन	7SS07.08	8SS07.03				7	8	np	Science	Earth	Human Impact	Other Human Impact		7SS07.08_जलवायु_परिवर्तन.json	game																					
	7SS07.09 विपत् व्यवस्थापन: हिउँ पहिरो	7SS07.09					7	7	np	Science	Earth	Human Impact	Other Human Impact		7SS07.09_विपत्_व्यवस्थापन_हिउँ_पहिरो.json	game																					
	7SS07.10 नक्साको अध्ययन	7SS07.10					7	7	np	Social Studies	Geography	Maps			7SS07.10_नक्साको_अध्ययन.json	game																					
	7SS09.02 सार्कमा नेपालको भूमिका	7SS09.02					7	7	np	Social Studies	Geography	Asia	Nepal		7SS09.02_सार्कमा_नेपालको_भूमिका.json	game																					
	7SS09.02 सार्कको कार्य क्षेत्र	7SS09.02					7	7	np	Social Studies	Geography	Asia	Nepal		7SS09.02_सार्कको_कार्य_क्षेत्र.json	game																					
	7SS09.03 अनलाइन सेवा	7SS09.03					7	7	np	Science	IT	Internet			7SS09.03_अनलाइन_सेवा.json	game																					
	7SS09.04 साइबर अपराधबाट जोगिने उपाय	7SS09.04					7	7	np	Social Studies	Issues	Solutions			7SS09.04_साइबर_अपराधबाट_जोगिने_उपाय.json	game																					
	7SS09.04 सामाजिक सञ्जालको दुरुपयोग र त्यसका असरहरू	7SS09.04					7	7	np	Social Studies	Issues	Other Issues			7SS09.04_सामाजिक_सञ्जालको_दुरुपयोग_र_त्यसका_असरहरू.json	game																					
