Earth moves around the Sun	पृथ्वी सूर्यको वरिपरि घुम्छ	8SS07.01	7SS07.01				6	10	both	Science	Astronomy	Solar System	Earth	Earth_moves_around_the_Sun.mp4		video																					
	पृथ्वीको अक्षको झुकाव	8SS07.01					7	9	np	Science	Astronomy	Solar System	Earth		पृथ्वीको_अक्षको_झुकाव.jpg	image																					
	पृथ्वीको परिक्रमण	8SS07.01					7	9	np	Science	Astronomy	Solar System	Earth		पृथ्वीको_परिक्रमण.jpg	image																					
	जलवायु परिवर्तनको असर न्यूनीकरणका उपाय	8SS07.03					7	9	np	Science	Earth	Human Impact	Conservation		जलवायु_परिवर्तनको_असर_न्यूनीकरणका_उपाय.jpg	image																					
Mahendra Highway	महेन्द्र राजमार्ग	8SS07.04					6	10	both	Social Studies	Community	Social Organization	Infrastructure	Mahendra_Highway.jpg		image																					
Araniko Highway	अरणिको राजमार्ग	8SS07.04					6	10	both	Social Studies	Community	Social Organization	Infrastructure	Araniko_Highway.jpg		image																					
The 18th SAARC Summit	१८औँ सार्क शिखर सम्मेलन	8SS07.05					6	10	both	Social Studies	Geography	Asia	Nepal	The_18th_SAARC_Summit.jpg		image																					
	8SS08.02 जनगणना २०७८ तथ्याङ्क परीक्षण	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनगणना_२०७८_तथ्याङ्क_परीक्षण.json	game																					
	8SS08.02 जनसङ्ख्या बनोटका विविध आधार	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनसङ्ख्या_बनोटका_विविध_आधार.json	game																					
	8SS08.02 जनसङ्ख्याको बनोटले सामाजिक र आर्थिक जनजीवनमा पार्ने प्रभाव	8SS08.02					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.02_जनसङ्ख्याको_बनोटले_सामाजिक_र_आर्थिक_जनजीवनमा_पार्ने_प्रभाव.json	game																					
	8SS08.03 भौगोलिक क्षेत्र र प्रदेशअनुसार जनसङ्ख्या वितरण	8SS08.03					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.03_भौगोलिक_क्षेत्र_र_प्रदेशअनुसार_जनसङ्ख्या_वितरण.json	game																					
	8SS08.03 जनघनत्वको परिचय र अवस्था	8SS08.03					8	8	np	Social Studies	Economy	Other Economy	Population		8SS08.03_जनघनत्वको_परिचय_र_अवस्था.json	game																					
	बसाइँसराइले पारेको प्रभाव	8SS08.04					7	9	np	Social Studies	Community	Other Community			बसाइँसराइले_पारेको_प्रभाव.jpg	image																					
	बसाइँसराइका कारक तत्वहरू	8SS08.04					7	9	np	Social Studies	Community	Other Community			बसाइँसराइका_कारक_तत्वहरू.jpg	image																					
	नेपाली राजदूतावास रहेका देशहरू	8SS09.01					8	9	np	Social Studies	Community	Other Community			नेपाली_राजदूतावास_रहेका_देशहरू.jpg	image																					
	कूटनीतिक नियोगको परिचय	8SS09.01					8	9	np	Social Studies	Community	Other Community			कूटनीतिक_नियोगको_परिचय.jpg	image																					
Birendra with Rajiv Gandhi	राजीव गान्धीसँग विरेन्द्र	8SS09.01					7	9	both	Social Studies	History	Nepal	Famous Persons	Birendra_with_Rajiv_Gandhi.jpg		image																					
Embassy of Nepal	नेपाल दूतावास	8SS09.01					6	10	both	Social Studies	Geography	Asia	Nepal	Embassy_of_Nepal.jpg		image																					
	बिमस्टेकको उ‌द्देश्य	8SS09.02					8	9	np	Social Studies	Geography	Asia			बिमस्टेकको_उ‌द्देश्य.jpg	image																					
	बिमस्टेक र सदस्य राष्ट्र	8SS09.02					8	9	np	Social Studies	Geography	Asia			बिमस्टेक_र_सदस्य_राष्ट्र.jpg	image																					
	बिमस्टेकबाट नेपालले प्राप्त गरेका उपलब्धि	8SS09.02					8	9	np	Social Studies	Geography	Asia			बिमस्टेकबाट_नेपालले_प्राप्त_गरेका_उपलब्धि.jpg	image																					
	साइबर अपराधअन्तर्गत पर्ने क्रियाकलाप	8SS09.04					7	9	np	Social Studies	Issues	Other Issues			साइबर_अपराधअन्तर्गत_पर्ने_क्रियाकलाप.jpg	image																					
	साइबर अपराधको उजुरी दिने प्रक्रिया	8SS09.04					7	9	np	Social Studies	Issues	Other Issues			साइबर_अपराधको_उजुरी_दिने_प्रक्रिया.jpg	image																					
	साइबर अपराध विरुद्ध सचेत रहने उपाय	8SS09.04					7	9	np	Social Studies	Issues	Other Issues			साइबर_अपराध_विरुद्ध_सचेत_रहने_उपाय.jpg	image																					
	साइबर अपराधका कानुनी व्यवस्था	8SS09.04					7	9	np	Social Studies	Issues	Other Issues			साइबर_अपराधका_कानुनी_व्यवस्था.jpg	image																					
	8SS09.04 नेपालमा साइबर अपराध नियन्त्रण	8SS09.04					8	8	np	Social Studies	Issues	Other Issues			8SS09.04_नेपालमा_साइबर_अपराध_नियन्त्रण.json	game																					
World Cup 2022 Winner	विश्वकप २०२२ फाइनल विजेता	8SS09.05					6	10	both	Social Studies	Community	Sports	Football	World_Cup_2022_Winner.jpg		image																					
World Cup Trophy	विश्वकप ट्रफी	8SS09.05					6	10	both	Social Studies	Community	Sports	Football	World_Cup_Trophy.jpg		image																					
	डेंगुबाट बच्‍ने उपायहरू	8SS09.05					7	9	np	Science	Medicine	Disease & Injury	Other Disease		डेंगुबाट_बच्‍ने_उपायहरू.jpg	image																					
	8SS09.05 डेंगु रोगबाट बच्‍ने उपाय	8SS09.05					8	8	np	Science	Medicine	Disease & Injury	Other Disease		8SS09.05_डेंगु_रोगबाट_बच्‍ने_उपाय.json	game																					
	विश्वकप फुटबलको सङ्क्षिप्त इतिहास	8SS09.05					7	9	np	Social Studies	Community	Sports	Football		विश्वकप_फुटबलको_सङ्क्षिप्त_इतिहास.jpg	image																					
	8SS09.05 विश्व कप फुटबल	8SS09.05					8	8	np	Social Studies	Community	Sports	Football		8SS09.05_विश्व_कप_फुटबल.json	game																					
	8SS09.05 कोप–२७ सम्मेलन	8SS09.05					8	8	np	Social Studies	Issues	Solutions			8SS09.05_कोप_२७_सम्मेलन.json	game																					
	7SS01.01 समाज विकासका पक्षहरू	7SS01.01					7	7	np	Social Studies	Community	Other Community			7SS01.01_समाज_विकासका_पक्षहरू.json	game																					
	7SS01.02 सामाजिकीकरण	7SS01.02					7	7	np	Social Studies	Community	Other Community			7SS01.02_सामाजिकीकरण.json	game																					
Makar Sankranti Mela	मकर संक्रान्ति मेला	7SS01.02					5	10	both	Social Studies	Community	Everyday Life	Celebrations	Makar_Sankranti_Mela.jpg		image																					
	7SS01.02 सामाजिकीकरणका संस्था र तिनका भूमिका	7SS01.02					7	7	np	Social Studies	Community	Social Organization	Other Social Organization		7SS01.02_सामाजिकीकरणका_संस्था_र_तिनका_भूमिका.json	game																					
	7SS01.04 यातायात पूर्वाधार र सञ्‍चार पूर्वाधार	7SS01.04					7	7	np	Social Studies	Community	Social Organization	Infrastructure		7SS01.04 _यातायात_पूर्वाधार_र_सञ्‍चार_पूर्वाधार.json	game																					
	7SS01.05 जिल्ला समन्वय समितिका कार्यहरू	7SS01.05					7	7	np	Social Studies	Community	Government	Local		7SS01.05_जिल्ला_समन्वय_समितिका_कार्यहरू.json	game																					
	7SS01.05 जिल्ला समन्वय समितिको गठन प्रक्रिया	7SS01.05					7	7	np	Social Studies	Community	Government	Local		7SS01.05_जिल्ला_समन्वय_समितिको_गठन_प्रक्रिया.json	game																					
	7SS01.05 जिल्ला सभा गठन प्रक्रिया	7SS01.05					7	7	np	Social Studies	Community	Government	Local		7SS01.05_जिल्ला_सभा_गठन_प्रक्रिया.json	game																					
	7SS02.01 इमानदारी	7SS02.01					7	7	np	Social Studies	Community	Everyday Life	Other Everyday Life		7SS02.01_इमानदारी.json	game																					
	7SS02.01 आपसी सद्भाव	7SS02.01					7	7	np	Social Studies	Community	Everyday Life	Cooperation		7SS02.01_आपसी_सद्भाव.json	game																					
	7SS02.02 संस्कारको वर्गीकरण	7SS02.02					7	7	np	Social Studies	Community	Everyday Life	Customs		7SS02.02_संस्कारको_वर्गीकरण.json	game																					
Christian Wedding Ceremony	ख्रीष्टयान विवाह समारोह	7SS02.03					5	10	both	Social Studies	Community	Everyday Life	Customs	Christian_Wedding_Ceremony.jpg		image																					
Religious Folk Song	धार्मिक लोकगीत	7SS02.05					5	10	both	Social Studies	Arts	Music	Other Music	Religious_Folk_Song.jpg		image																					
