addition	जोड
KDAD	काभ्रे बहिरा विकास सङ्घ
KDSS	काभ्रे बहिरा माध्यमिक विद्यालय
Kshatriya	क्षेत्री
Lama	 लामा
lazy	अल्छी
leadership	नेतृत्व
leaf	 पात
leech	 जुका
leopard	चितुवा
lice	जुम्रा
lifetime	 जीवनभर
Limbu	 लिम्बु
lion	सिंह
lions club	लायन्स क्लब
lizard	छेपारो
lophophorus	डाँफे
Losar	 ल्होसार
love	माया
Magar	 मगर
memory	  सम्झना
minister	 मन्त्री 
miscellaneous	प्रविधि
misuse	दुरुपयोग
monkey	 बाँदर
Moon	चन्द्रमा
mosquito	 लामखुट्टे
mountain	 पहाड, पर्वत
mud	हिलो
myna	 मैना
NASLI	राष्ट्रीय सांकेतिक भाषा दोभासे संघ नेपाल
nature	 प्रकृति
NDFN	 राष्ट्रिय बहिरा महासंघ नेपाल
new year	 नयाँवर्ष
Newar	 नेवार
NFDN	राष्ट्रिय अपाङ्ग महासंघ
objective	 उद्देश्य
ocean	 समुन्द्र
opportunity	अवसर
organization	 संघसंस्था
organize	आयोजना
owl	उल्लु
ox	 गोरु
parliament	 संसद
parrot	 सुगा
participant	सहभागी
patron	 संरक्षक
peace	 शान्ति
peacock	 मयुर
picnic	वनभोज
pigeon	परेवा
pilot	पाइलट
plant	बोटविरुवा
post office	 हुलाक
president	राष्ट्रपति
Prime minister	राष्ट्रपति
principal	प्रधानाध्यापक
program	कार्यक्रम
quality	 गुणस्तर
rabbit	खरायो
rain	वर्षा
rainbow	इन्द्रेणी
regular	नियमित
repair	 मर्मत गर्नु
request	अनुरोध
rest	आराम
rhinoceros	गैंडा
rhododendron	लालीगुराँस
river	नदी 
root	जरा
rotary	 रोटरी
sacred thread	जनै 
sample	 नमुना
sand	बालुवा
sapling	 बोटविरुवा
science	विज्ञान
self-reliant	 आत्मनिर्भर
sheep	भेडा
she-goat	बाख्रा
Sherpa	शेर्पा
Shivaratri	शिवरात्री
shy	लाज
sky	आकाश
sleepy	 निंद्रा
smoke	 धुवाँ
snake	सर्प
snow	हिउँ
social	सामाजिक 
soil	 माटो 
sorrow	दुःख
sparrow	 भँगेरा
speaker	सभामुख 
spider	माकुरा
sports	खेलकुद 
spotted deer	 चित्तल
staff	 कर्मचारी
star	तारा
sun	 सूर्य
sunshine	 घाम
surprise	  अचम्म
Tamang	तामाङ
target	लक्ष्य
tears	आँसु
Teej	 तिज
temperament	स्वभाव
temple	मन्दिर
Terai	 तराई
Thakali	थकाली
Tharu	थारु
thirst	 तिर्खा
tiger	बाघ
Tihar	 तिहार
times	 पटक
tortoise	कछुवा
tourism	पर्यटन
tourist	पर्यटक
trainer	प्रशिक्षक
tree	रुख
TRIFC	द रोज इन्टरनेसनल फन्ड फर चिल्ड्रेन
UNESCO	युनेस्को
UNICEF	 युनिसेफ
United Nations	संयुक्त राष्ट्रसङ्घ
utility	उपयोग
valley	उपत्यका
vase	 गमला
visitor	पाहुना
water	पानी
waterfall	 झरना
weather	 मौसम
welcome	स्वागत
WFD	 विश्व बहिरा महासंघ
WHO	 विश्व स्वास्थ्य संगठन
world	 संसार
worry	चिन्ता
worship	पूजा
yard	आँगन
angle	कोण
apron	एप्रोन
area	 छेत्रफल
ascending order	बढ्दो क्रम
ask	सोध्नु
balcony	कौसी
bangles	चुरा
bathing	नुहाउनु
battery	ब्याट्री
believe	विश्वास गर्नु
belt	 पेटी
birth	जन्मनु
blouse	ब्लाउज
borrow	 सापटी
bowl	कचौरा
breadth	 चौडाइ
breathe	 सास फेर्नु
brooch	 फुली
broom	कुचो
bucket	बाल्टिन
bulb	 बत्ती
burn	पोल्नु
calculation	 हिसाब
call	 बोलाउनु
candle	 मैनबत्ती
cap	 क्याप, टोपी
catch	समात्नु
cell	ब्याट्री
center	केन्द्रबिन्दु
centimeter	सेन्टिमिटर
chair	 मेच, कुर्सी
chew	चपाउनु
cholo	चोलो
